country,count,pop
Afghanistan,69,25067407
Anguilla,1,12256
Argentina,806,38747148
Armenia,78,3017661
Australia,7180,20310208
Austria,116,8291979
Azerbaijan,203,8352021
Bahrain,1,724788
Bangladesh,321,15328112
Belarus,61,9795287
Belgium,339,10398049
Bolivia,55,9182015
Bosnia and Herzegovina,12,3915238
Botswana,1,1835938
Brazil,2305,186830759
Bulgaria,47,7744591
Myanmar,58,47967266
Cambodia,1,13955507
Canada,853,32270507
Cape Verde,9,506807
Chile,664,16295102
China,4542,1312978855
Colombia,371,4494579
Republic of the Congo,3,3609851
Croatia,43,455149
Cuba,1,11259905
Czech Republic,81,10191762
Denmark,183,5416945
Ecuador,1101,13060993
Egypt,669,72849793
El Salvador,1,6668356
Estonia,20,1344312
Fiji,68,828046
Finland,137,5246004
France,1205,60990544
Georgia,21,4473409
Germany,823,82652369
Ghana,2,2253501
Greece,1967,11099737
Greenland,950,57475
Hong Kong,1570,7057418
Hungary,60,10086387
India,9039,1134403141
Indonesia,5360,226063044
Iran,90,69420607
Iraq,1094,27995984
Ireland,726,4143294
Israel,90,6692037
Italy,1031,5864636
Japan,2429,127896740
Jordan,2,5544066
Kazakhstan,142,15210609
Kenya,619,35598952
South Korea,464,47869837
Kuwait,296,2700
Latvia,31,2301793
Liberia,28,3441796
Lithuania,24,3425077
Malawi,1,13226091
Malaysia,3357,25652985
Maldives,11,295297
Marshall Islands,3,5672
Mauritius,1,1241173
Mexico,711,104266392
Mongolia,32,2580704
Morocco,832,30494991
Republic of Namibia,1,2019677
Nepal,187,27093656
Netherlands,2825,1632769
New Zealand,811,4097112
Nigeria,11,141356083
Norway,1,4638836
Oman,268,2507042
Pakistan,1644,158080591
Papua New Guinea,9,6069715
Paraguay,2,5904342
Peru,61,27274266
Philippines,14,84566163
Poland,139,38195558
Portugal,302,10528226
Qatar,4,796186
Romania,245,21627557
Russia,1482,143953092
Samoa,3,183845
Saudi Arabia,907,2361236
Serbia,322,9863026
Singapore,9800,4327468
Slovakia,28,5386995
Slovenia,461,1999425
Solomon Islands,78,472419
South Africa,489,47938663
Spain,899,43397491
Sri Lanka,204,19120763
Sweden,225,9038049
Switzerland,455,7424389
Taiwan,386,0
Thailand,3635,63002911
Macedonia,17,2033655
East Timor,1,1067285
Tonga,49,99361
Tunisia,1,10104685
Turkey,584,72969723
Uganda,3,28947181
Ukraine,347,46917544
United Arab Emirates,1108,4104291
United Kingdom,7266,60244834
United States,6140,299846449
Uruguay,2,3325727
Uzbekistan,20,26593123
Venezuela,629,26725573
Vietnam,490,85028643
Zimbabwe,150,13119679
