id,count
14589119,173895
821045162,159046
45621423,147133
813286,140835
18332190,138745
16898427,124860
22919665,118430
428333,117577
783214,116959
10228272,114446
807095,112775
742143,112071
5402612,111753
18909186,110831
218730857,107851
15846407,106806
56377143,103517
19106719,102665
759251,101801
21447363,99152
124476322,96488
37874853,96426
50393960,95854
22536055,95268
38400130,93862
17919972,93468
20626359,85526
41085467,84966
5920532,83004
260907612,82444
34568673,78097
27260086,77193
574253,75385
115624161,74700
5988062,73896
79293791,73459
26565946,73059
21401523,72875
1652541,72546
106062176,71612
17471979,70479
15378041,70204
114356023,69898
14230524,69193
19617105,69070
307781209,68858
3108351,68468
14293310,68233
59072662,66758
25365536,65991
29498906,65880
11348282,65848
34565395,65398
20536157,65221
68321763,64183
19397785,64078
56883209,63262
297169759,60908
606437303,60067
37890902,59788
23375688,59602
7212562,59104
23413363,58276
16548023,58000
2097571,57500
15485441,57193
343627165,57033
27807739,56992
57034487,56936
16409683,56927
91478624,56368
180505807,55920
34507480,55801
6449282,55380
155659213,55359
54904679,54618
2467791,54496
2557521,54410
8161232,54348
15066760,54248
51241574,54171
38140836,53724
15425377,53650
14159148,52841
67577830,52739
19273963,52562
12101862,52472
85603854,51125
382267114,50602
18839785,50550
30313925,50157
16365636,49960
101311381,49833
74286565,49164
145125358,48955
487118986,47714
558797310,47635
20823928,47418
87818409,46790
166739404,46490
21764143,45950
88856792,45832
612473,45714
17055388,44991
22090282,44785
132385468,44534
26257166,44057
20609518,43895
6017542,43245
21111883,43183
101695592,42782
1536791610,42300
23083404,42113
18681139,42031
133880286,41579
1339835893,41569
36184220,41544
21366823,41217
471741741,40810
15670515,40693
38676903,40633
113419517,40524
14511951,40429
25103967,40284
73287339,39642
352145373,39570
56505125,39342
44994215,39319
90420314,39166
23617610,38844
28785486,38810
19923144,38715
243381107,38637
115485051,38537
32959253,38472
184910040,38452
31348594,38326
27195114,38229
2803191,37978
44409004,37653
1251828655,37611
33933259,37562
637313893,37378
16211434,37288
19895282,37131
157140968,36951
4898091,36910
1367531,36892
38679388,36458
268414482,36431
627673190,36056
14363353,35641
113292385,35158
34713362,35132
444413055,35083
23151437,34917
236699098,34903
30973,34804
28706024,34768
71201743,34765
1330457336,34723
972651,34665
155418706,34651
17093617,34567
87170183,34271
78084813,34104
43815496,34102
135421739,34043
169686021,33847
25792111,33791
14173315,33752
57928790,33717
51376979,33689
173992307,33228
95023423,33201
20322929,33135
25073877,33107
15492359,32897
183230911,32833
140070953,32724
265902729,32092
134758540,32040
20168940,31888
97865628,31844
19110632,31818
209708391,31784
816653,31741
112377315,31706
116362700,31644
17874544,31616
91573146,31529
56631494,31492
44084633,31437
285332860,31385
136361303,31364
33801019,31275
94163409,31196
54829997,31175
19426551,31080
27067896,30933
14677919,30645
100220864,30602
2459371,30522
50374439,30220
519332561,30206
1344951,30201
17219108,30148
76294950,29762
15012486,29698
18949452,29672
37034483,29577
326359913,29295
348379865,29290
31311757,29231
25521487,29057
277434037,28908
119002935,28848
268439864,28561
18863815,28400
405427035,28375
230502627,28298
33875003,27993
14920785,27850
1774391,27845
23976386,27820
237093193,27706
26243008,27621
14872237,27604
27860681,27497
35094637,27351
158487331,27243
74580436,27073
73992972,27068
101743223,26968
1337785291,26925
117662694,26891
13192972,26889
361812836,26743
6253282,26709
130834357,26666
31927467,26659
68977380,26650
54502344,26649
47459700,26484
344634424,26457
24886570,26450
96951800,26397
91227352,26308
60865434,26274
181561712,26253
7587032,26242
185314895,26112
34442404,26049
79708561,25974
44588485,25760
15519886,25733
74594552,25701
500704345,25691
1093090866,25685
15754281,25669
107318424,25658
19058681,25541
415859364,25510
65659343,25410
10671602,25386
37589139,25299
14700316,25298
27466653,25178
59419156,25118
121044171,25088
27650674,24951
1379801,24919
24929621,24840
27042513,24732
17842366,24676
16303106,24648
788524,24624
128155589,24588
2183816041,24512
18676177,24455
34613288,24378
317034396,24373
2367911,24343
92724677,24294
35936474,24231
115341081,24222
25360913,24220
14499829,24196
240649814,24189
259925559,24162
12397052,24142
57998991,24111
57016932,24093
69183155,24034
14918367,23996
323319539,23978
15439395,23953
138372303,23946
87174678,23897
79320096,23803
21887420,23792
2425151,23456
373471064,23421
303862998,23307
24727891,23277
21425125,23268
1542862735,23232
16425197,23188
177547780,23161
533085085,23056
113278275,23052
219617448,23050
14800270,23022
1545994664,22878
32359921,22878
378197959,22778
68497896,22758
85772748,22655
300392950,22648
33868638,22640
87118217,22632
1492538024,22594
65268724,22508
22910295,22485
195703895,22477
84554399,22416
92367751,22332
36327407,22186
19248106,22141
230845588,22123
16193578,22099
139876086,22055
45452226,21945
47786101,21918
16190898,21907
130104041,21894
15110357,21888
14224719,21875
17365848,21854
740336334,21845
21814628,21845
78021221,21771
54524468,21736
85452649,21703
15224867,21694
69231187,21688
108936259,21661
44886859,21656
64643056,21653
14399483,21626
19407053,21528
92726549,21491
16031536,21490
130649891,21483
16629918,21480
61159473,21448
19583545,21416
105119490,21399
24742040,21285
67719573,21251
20562637,21230
56304605,21184
52551600,21172
19929890,21115
16664681,21058
34720571,20840
950165300,20840
264231189,20834
18647765,20830
16184358,20789
4970411,20755
67358777,20721
16973333,20666
20015311,20581
171117515,20557
49573859,20510
9624742,20504
26235265,20501
57261519,20488
20402945,20469
155151279,20448
78264667,20417
19897138,20393
740216334,20388
250831586,20364
102323621,20331
44335525,20297
24016767,20256
25053299,20243
121046433,20216
72568426,20193
9549352,20174
1877831,20151
106317808,20130
77888423,20110
114990575,20042
1307120064,20000
226087776,19945
224223563,19931
10933662,19875
213969309,19872
34197952,19858
366947884,19855
36065771,19844
40205617,19789
78941611,19782
155927976,19746
183387449,19676
16343974,19645
158314798,19625
18493366,19617
2469605695,19556
32468665,19542
69008563,19518
108568373,19516
5120691,19514
26935768,19489
349714440,19485
25497636,19479
16542390,19473
2884771,19464
39559926,19463
338084918,19408
90836187,19365
26223583,19362
366987179,19330
1176135546,19293
84279963,19265
134196350,19189
8159472,19155
300114634,19119
44196397,19101
38647512,19094
30899115,19081
109275593,19039
6509832,19022
828742454,19014
57188977,19008
185142711,19006
24705126,18992
122995784,18990
1346439824,18972
19230601,18965
42420346,18951
1636590253,18938
621523,18916
18625669,18903
789605024,18885
87984807,18859
1059194370,18783
66334209,18711
166607010,18710
102382667,18688
586671909,18652
19562228,18580
174266952,18555
40113236,18554
54149214,18485
151410216,18473
2883841,18463
288333760,18460
18148907,18440
16153562,18409
413487212,18380
21759987,18238
92424604,18216
205437050,18208
17940246,18194
409089061,18124
6844292,18101
32388036,18074
31143957,18061
2142731,18056
115286138,18016
11856482,18014
176566242,18010
20751449,18010
492399548,17838
9676212,17791
23613479,17780
47363197,17779
28535982,17744
65992743,17711
87416722,17655
1527152922,17636
20793816,17626
15639696,17619
15291335,17619
92945681,17591
14824849,17579
63253045,17522
20177423,17502
109241992,17475
33494125,17452
152251488,17441
20646711,17437
168606635,17434
230140702,17431
317373303,17377
53556894,17367
